Accesion	Lineages	Sublineage 
MH157051.1	LineageII	None
MH157053.1	LineageII	None
MH887898.1	LineageII	None
MH887899.1	LineageII	None
MH887900.1	LineageII	None
MH887901.1	LineageII	None
MH887902.1	LineageII	None
MH887903.1	LineageII	None
MH887904.1	LineageII	None
MH887905.1	LineageII	None
MH887906.1	LineageII	None
MH887907.1	LineageII	None
MH887908.1	LineageII	None
MH887909.1	LineageII	None
MH887910.1	LineageII	None
MH887911.1	LineageII	None
MH887912.1	LineageII	None
MH887913.1	LineageII	None
MH887914.1	LineageII	None
MH887915.1	LineageII	None
MH887916.1	LineageII	None
MH887917.1	LineageII	None
MH887918.1	LineageII	None
MH887919.1	LineageII	None
MH887920.1	LineageII	None
MH887921.1	LineageII	None
MH887922.1	LineageII	None
MH887923.1	LineageII	None
MH887924.1	LineageII	None
MH887925.1	LineageII	None
MH887926.1	LineageII	None
MH887927.1	LineageII	None
MH887928.1	LineageII	None
MH887929.1	LineageII	None
MH887930.1	LineageII	None
MH887931.1	LineageII	None
MH887932.1	LineageII	None
MH887933.1	LineageII	None
MH887935.1	LineageII	None
MH887936.1	LineageII	None
MH887937.1	LineageII	None
MH887938.1	LineageII	None
MH887939.1	LineageII	None
MH887940.1	LineageII	None
MH887941.1	LineageII	None
MH887942.1	LineageII	None
MH887943.1	LineageII	None
MH887944.1	LineageII	None
MH887945.1	LineageII	None
MH887946.1	LineageII	None
MH887947.1	LineageII	None
MH887948.1	LineageII	None
MH887949.1	LineageII	None
MH887950.1	LineageII	None
MH887951.1	LineageII	None
MH887952.1	LineageII	None
MH887953.1	LineageII	None
MH887954.1	LineageII	None
MH887955.1	LineageII	None
MH887956.1	LineageII	None
MH887957.1	LineageII	None
MH887958.1	LineageII	None
MH887959.1	LineageII	None
MH887960.1	LineageII	None
MH887961.1	LineageII	None
MH887962.1	LineageII	None
MH887963.1	LineageII	None
MH887964.1	LineageII	None
MH887965.1	LineageII	None
MH887966.1	LineageII	None
MH887967.1	LineageII	None
MH887968.1	LineageII	None
MH887969.1	LineageII	None
MH887970.1	LineageII	None
MH887971.1	LineageII	None
MH887972.1	LineageII	None
MH887973.1	LineageII	None
MH887974.1	LineageII	None
MH887975.1	LineageII	None
MH887976.1	LineageII	None
MH887977.1	LineageII	None
MH887978.1	LineageII	None
MH887979.1	LineageII	None
MH887980.1	LineageII	None
MH887981.1	LineageII	None
MH887982.1	LineageII	None
MH887983.1	LineageII	None
MH887984.1	LineageII	None
MH887985.1	LineageII	None
MH887986.1	LineageII	None
MH887987.1	LineageII	None
MH887988.1	LineageII	None
MH887989.1	LineageII	None
MH887990.1	LineageII	None
MH887991.1	LineageII	None
MH887992.1	LineageII	None
MH887993.1	LineageII	None
MH887994.1	LineageII	None
MH887995.1	LineageII	None
MH887996.1	LineageII	None
MH887997.1	LineageII	None
MH887998.1	LineageII	None
MH887999.1	LineageII	None
MH888000.1	LineageII	None
MH888001.1	LineageII	None
MH888002.1	LineageII	None
MH888003.1	LineageII	None
MH888004.1	LineageII	None
MH888005.1	LineageII	None
MH888006.1	LineageII	None
MH888007.1	LineageII	None
MH888008.1	LineageII	None
MK107842.1	LineageII	None
MK107843.1	LineageII	None
MK107846.1	LineageII	None
MK107847.1	LineageII	None
MK107848.1	LineageII	None
MK107849.1	LineageII	None
MK107850.1	LineageII	None
MK107851.1	LineageII	None
MK107852.1	LineageII	None
MK107853.1	LineageII	None
MK107854.1	LineageII	None
MK107858.1	LineageII	None
MK107860.1	LineageII	None
MK107861.1	LineageII	None
MK107867.1	LineageII	None
MK107868.1	LineageII	None
MK107869.1	LineageII	None
MK107870.1	LineageII	None
MK107871.1	LineageII	None
MK107873.1	LineageII	None
MK107881.1	LineageII	None
MK107882.1	LineageII	None
MK107883.1	LineageII	None
MK107887.1	LineageII	None
MK107888.1	LineageII	None
MK107889.1	LineageII	None
MK107890.1	LineageII	None
MK107891.1	LineageII	None
MK107892.1	LineageII	None
MK107893.1	LineageII	None
MK107894.1	LineageII	None
MK107895.1	LineageII	None
MK107896.1	LineageII	None
MK117826.1	LineageII	None
MK117827.1	LineageII	None
MK117828.1	LineageII	None
MK117830.1	LineageII	None
MK117831.1	LineageII	None
MK117833.1	LineageII	None
MK117834.1	LineageII	None
MK117835.1	LineageII	None
MK117836.1	LineageII	None
MK117837.1	LineageII	None
MK117838.1	LineageII	None
MK117839.1	LineageII	None
MK117840.1	LineageII	None
MK117841.1	LineageII	None
MK117842.1	LineageII	None
MK117843.1	LineageII	None
MK117844.1	LineageII	None
MK117845.1	LineageII	None
MK117866.1	LineageII	None
MK117867.1	LineageII	None
MK117868.1	LineageII	None
MK117870.1	LineageII	None
MK117871.1	LineageII	None
MK117872.1	LineageII	None
MK117873.1	LineageII	None
MK117874.1	LineageII	None
MK117875.1	LineageII	None
MK117876.1	LineageII	None
MK117877.1	LineageII	None
MK117878.1	LineageII	None
MK117879.1	LineageII	None
MK117880.1	LineageII	None
MK117881.1	LineageII	None
MK117882.1	LineageII	None
MK117883.1	LineageII	None
MK117884.1	LineageII	None
MK117885.1	LineageII	None
MK117886.1	LineageII	None
MK117887.1	LineageII	None
MK117888.1	LineageII	None
MK117890.1	LineageII	None
MK117891.1	LineageII	None
MK117892.1	LineageII	None
MK117893.1	LineageII	None
MK117894.1	LineageII	None
MK117895.1	LineageII	None
MK117896.1	LineageII	None
MK117897.1	LineageII	None
MK117898.1	LineageII	None
MK117899.1	LineageII	None
MK117900.1	LineageII	None
MK117901.1	LineageII	None
MK117902.1	LineageII	None
MK117903.1	LineageII	None
MK117904.1	LineageII	None
MK117906.1	LineageII	None
MK117907.1	LineageII	None
MK117908.1	LineageII	None
MK117909.1	LineageII	None
MK117910.1	LineageII	None
MK117911.1	LineageII	None
MK117912.1	LineageII	None
MK117913.1	LineageII	None
MK117914.1	LineageII	None
MK117915.1	LineageII	None
MK117916.1	LineageII	None
MK117917.1	LineageII	None
MK117918.1	LineageII	None
MK117919.1	LineageII	None
MK117920.1	LineageII	None
MK117921.1	LineageII	None
MK117922.1	LineageII	None
MK117923.1	LineageII	None
MK117925.1	LineageII	None
MK117926.1	LineageII	None
MK117927.1	LineageII	None
MK117928.1	LineageII	None
MK117929.1	LineageII	None
MK117930.1	LineageII	None
MK117931.1	LineageII	None
MK117932.1	LineageII	None
MK117933.1	LineageII	None
MK117934.1	LineageII	None
MK117935.1	LineageII	None
MK117936.1	LineageII	None
MK117937.1	LineageII	None
MK117938.1	LineageII	None
MK117939.1	LineageII	None
MK117940.1	LineageII	None
MK117941.1	LineageII	None
MK117942.1	LineageII	None
MK117943.1	LineageII	None
MK117944.1	LineageII	None
MK117945.1	LineageII	None
MK117946.1	LineageII	None
MK117947.1	LineageII	None
MK281626.1	LineageII	None
MK281628.1	LineageII	None
MK281629.1	LineageII	None
MK281630.1	LineageII	None
MK291251.1	LineageII	None
MK291252.1	LineageII	None
MK291253.1	LineageII	None
MT199232.1	LineageII	None
OL774858.1	LineageII	None
OM140826.1	LineageII	None
ON569368.1	LineageII	None
ON569370.1	LineageII	None
ON569372.1	LineageII	None
ON569374.1	LineageII	None
ON569376.1	LineageII	None
ON569378.1	LineageII	None
OQ791477.1	LineageII	None
OQ791478.1	LineageII	None
OQ791479.1	LineageII	None
OQ791480.1	LineageII	None
OQ791481.1	LineageII	None
OQ791482.1	LineageII	None
OQ791483.1	LineageII	None
OQ791484.1	LineageII	None
OQ791485.1	LineageII	None
OQ791486.1	LineageII	None
OQ791487.1	LineageII	None
OQ791488.1	LineageII	None
OQ791489.1	LineageII	None
OQ791490.1	LineageII	None
OQ791491.1	LineageII	None
OQ791492.1	LineageII	None
OQ791493.1	LineageII	None
OR147788.1	LineageII	None
OR147789.1	LineageII	None
OR147790.1	LineageII	None
PP431156.1	LineageII	None
PP431157.1	LineageII	None
PP431159.1	LineageII	None
PP431160.1	LineageII	None
PP431161.1	LineageII	None
PP431166.1	LineageII	None
PP431167.1	LineageII	None
PP431168.1	LineageII	None
PP431170.1	LineageII	None
PP431171.1	LineageII	None
PP431173.1	LineageII	None
PP431174.1	LineageII	None
PP431175.1	LineageII	None
PP431176.1	LineageII	None
PP431177.1	LineageII	None
PP431178.1	LineageII	None
PP431179.1	LineageII	None
PP431181.1	LineageII	None
PP431182.1	LineageII	None
PP431186.1	LineageII	None
PP431191.1	LineageII	None
PP431192.1	LineageII	None
PP431194.1	LineageII	None
PP431195.1	LineageII	None
PP431197.1	LineageII	None
PP431200.1	LineageII	None
PP431201.1	LineageII	None
PP431205.1	LineageII	None
PP431206.1	LineageII	None
PP431207.1	LineageII	None
PP431209.1	LineageII	None
PP431210.1	LineageII	None
AH012598.2	LineageIII	None
AY693639.1	LineageIII	None
GU481071.1	LineageIII	None
GU481073.1	LineageIII	None
KT992432.1	LineageIII	None
KT992433.1	LineageIII	None
KT992434.1	LineageIII	None
MG812634.1	LineageIII	None
MH053464.1	LineageIII	None
MH053465.1	LineageIII	None
MH053466.1	LineageIII	None
MH053467.1	LineageIII	None
MH053469.1	LineageIII	None
MH053471.1	LineageIII	None
MH053473.1	LineageIII	None
MH053477.1	LineageIII	None
MH053479.1	LineageIII	None
MH053481.1	LineageIII	None
MH053590.1	LineageIII	None
MH887934.1	LineageIII	None
MK107844.1	LineageIII	None
MK107845.1	LineageIII	None
MK107855.1	LineageIII	None
MK107856.1	LineageIII	None
MK107857.1	LineageIII	None
MK107859.1	LineageIII	None
MK107862.1	LineageIII	None
MK107863.1	LineageIII	None
MK107864.1	LineageIII	None
MK107865.1	LineageIII	None
MK107866.1	LineageIII	None
MK107874.1	LineageIII	None
MK107875.1	LineageIII	None
MK107876.1	LineageIII	None
MK107877.1	LineageIII	None
MK107878.1	LineageIII	None
MK107879.1	LineageIII	None
MK107880.1	LineageIII	None
MK107884.1	LineageIII	None
MK107885.1	LineageIII	None
MK107886.1	LineageIII	None
MK117829.1	LineageIII	None
MK117832.1	LineageIII	None
MK117869.1	LineageIII	None
MK117889.1	LineageIII	None
MK117905.1	LineageIII	None
MK117924.1	LineageIII	None
MZ169790.1	LineageIII	None
MZ169792.1	LineageIII	None
MZ169794.1	LineageIII	None
MZ169796.1	LineageIII	None
MZ169798.1	LineageIII	None
OL774860.1	LineageIII	None
OM140828.1	LineageIII	None
OM140830.1	LineageIII	None
AY179172.1	LineageIV	SublineageI
AY363905.1	LineageIV	SublineageI
AY363906.1	LineageIV	SublineageI
AY363907.1	LineageIV	SublineageI
AY363908.1	LineageIV	SublineageI
AY628202.1	LineageIV	SublineageI
HQ688674.1	LineageIV	SublineageI
HQ688675.1	LineageIV	SublineageI
JN650518.1	LineageIV	SublineageI
KM821772.1	LineageIV	SublineageI
KM821774.1	LineageIV	SublineageI
KM821776.1	LineageIV	SublineageI
KM821778.1	LineageIV	SublineageI
KM821780.1	LineageIV	SublineageI
KM821782.1	LineageIV	SublineageI
KM821784.1	LineageIV	SublineageI
KM821786.1	LineageIV	SublineageI
KM821788.1	LineageIV	SublineageI
KM821791.1	LineageIV	SublineageI
KM821793.1	LineageIV	SublineageI
KM821795.1	LineageIV	SublineageI
KM821803.1	LineageIV	SublineageI
KM821805.1	LineageIV	SublineageI
KM821807.1	LineageIV	SublineageI
KM821809.1	LineageIV	SublineageI
KM821811.1	LineageIV	SublineageI
KM821813.1	LineageIV	SublineageI
KM821817.1	LineageIV	SublineageI
KM821819.1	LineageIV	SublineageI
KM821823.1	LineageIV	SublineageI
KM821825.1	LineageIV	SublineageI
KM821827.1	LineageIV	SublineageI
KM821829.1	LineageIV	SublineageI
KM821831.1	LineageIV	SublineageI
KM821836.1	LineageIV	SublineageI
KM821838.1	LineageIV	SublineageI
KM821840.1	LineageIV	SublineageI
KM821842.1	LineageIV	SublineageI
KM821844.1	LineageIV	SublineageI
KM821849.1	LineageIV	SublineageI
KM821851.1	LineageIV	SublineageI
KM821853.1	LineageIV	SublineageI
KM821858.1	LineageIV	SublineageI
KM821862.1	LineageIV	SublineageI
KM821864.1	LineageIV	SublineageI
KM821866.1	LineageIV	SublineageI
KM821873.1	LineageIV	SublineageI
KM821875.1	LineageIV	SublineageI
KM821879.1	LineageIV	SublineageI
KM821881.1	LineageIV	SublineageI
KM821883.1	LineageIV	SublineageI
KM821888.1	LineageIV	SublineageI
KM821891.1	LineageIV	SublineageI
KM821893.1	LineageIV	SublineageI
KM821896.1	LineageIV	SublineageI
KM821898.1	LineageIV	SublineageI
KM821901.1	LineageIV	SublineageI
KM821905.1	LineageIV	SublineageI
KM822110.1	LineageIV	SublineageI
KM822112.1	LineageIV	SublineageI
KM822114.1	LineageIV	SublineageI
KM822116.1	LineageIV	SublineageI
KM822119.1	LineageIV	SublineageI
KM822121.1	LineageIV	SublineageI
KM822123.1	LineageIV	SublineageI
KM822125.1	LineageIV	SublineageI
KM822129.1	LineageIV	SublineageI
KM822131.1	LineageIV	SublineageI
KY425632.1	LineageIV	SublineageI
KY425634.1	LineageIV	SublineageI
KY425640.1	LineageIV	SublineageI
KY425651.1	LineageIV	SublineageI
MG812638.1	LineageIV	SublineageI
MG812642.1	LineageIV	SublineageI
MG812646.1	LineageIV	SublineageI
MG812682.1	LineageIV	SublineageI
MK656402.1	LineageIV	SublineageI
MN275172.1	LineageIV	SublineageI
MW004546.1	LineageIV	SublineageI
OL774856.1	LineageIV	SublineageI
OM735971.1	LineageIV	SublineageI
OM735973.1	LineageIV	SublineageI
OM791221.1	LineageIV	SublineageI
OQ919499.1	LineageIV	SublineageI
OQ919500.1	LineageIV	SublineageI
OQ919501.1	LineageIV	SublineageI
OQ919502.1	LineageIV	SublineageI
OQ919503.1	LineageIV	SublineageI
OQ919504.1	LineageIV	SublineageI
OQ919505.1	LineageIV	SublineageI
OQ919506.1	LineageIV	SublineageI
OQ919507.1	LineageIV	SublineageI
OQ919508.1	LineageIV	SublineageI
OR113008.1	LineageIV	SublineageI
PP826287.1	LineageIV	SublineageI
PP826289.1	LineageIV	SublineageI
PQ421570.1	LineageIV	SublineageI
U63094.1	LineageIV	SublineageI
U73034.2	LineageIV	SublineageI
NC_004297.1 LineageIV	SublineageI
AY363909.1	LineageIV	SublineageII
AY363910.1	LineageIV	SublineageII
AY628200.1	LineageIV	SublineageII
AY628204.1	LineageIV	SublineageII
AY693638.1	LineageIV	SublineageII
KM821797.1	LineageIV	SublineageII
KM821799.1	LineageIV	SublineageII
KM821801.1	LineageIV	SublineageII
KM821821.1	LineageIV	SublineageII
KM821834.1	LineageIV	SublineageII
KM821846.1	LineageIV	SublineageII
KM821855.1	LineageIV	SublineageII
KM821860.1	LineageIV	SublineageII
KM821868.1	LineageIV	SublineageII
KM821870.1	LineageIV	SublineageII
KM821903.1	LineageIV	SublineageII
KM821908.1	LineageIV	SublineageII
KT992426.1	LineageIV	SublineageII
KT992427.1	LineageIV	SublineageII
KT992428.1	LineageIV	SublineageII
KT992429.1	LineageIV	SublineageII
KT992430.1	LineageIV	SublineageII
KT992431.1	LineageIV	SublineageII
KU978809.1	LineageIV	SublineageII
KY425626.1	LineageIV	SublineageII
KY425628.1	LineageIV	SublineageII
MG812630.1	LineageIV	SublineageII
MG812637.1	LineageIV	SublineageII
MG812644.1	LineageIV	SublineageII
MG812649.1	LineageIV	SublineageII
MH215284.1	LineageIV	SublineageII
MK656393.1	LineageIV	SublineageII
MK656394.1	LineageIV	SublineageII
MK656395.1	LineageIV	SublineageII
MK656399.1	LineageIV	SublineageII
MK656400.1	LineageIV	SublineageII
MK656401.1	LineageIV	SublineageII
MT861993.1	LineageIV	SublineageII
OM735969.1	LineageIV	SublineageII
OM735975.1	LineageIV	SublineageII
OM735977.1	LineageIV	SublineageII
OM735979.1	LineageIV	SublineageII
OM735981.1	LineageIV	SublineageII
OM735983.1	LineageIV	SublineageII
OM735985.1	LineageIV	SublineageII
OM735987.1	LineageIV	SublineageII
OM735989.1	LineageIV	SublineageII
OM735991.1	LineageIV	SublineageII
OM791219.1	LineageIV	SublineageII
OM791225.1	LineageIV	SublineageII
OM791227.1	LineageIV	SublineageII
OM791229.1	LineageIV	SublineageII
OM791231.1	LineageIV	SublineageII
OQ919498.1	LineageIV	SublineageII
OQ919509.1	LineageIV	SublineageII
OR490741.1	LineageIV	SublineageII
OR490748.1	LineageIV	SublineageII
OR490749.1	LineageIV	SublineageII
OR490750.1	LineageIV	SublineageII
OR490751.1	LineageIV	SublineageII
OR490752.1	LineageIV	SublineageII
OR490753.1	LineageIV	SublineageII
OR490754.1	LineageIV	SublineageII
GU979513.1	LineageIV	SublineageIII
KU978808.1	LineageIV	SublineageIII
MG812684.1	LineageIV	SublineageIII
MK044799.1	LineageIV	SublineageIII
MK656392.1	LineageIV	SublineageIII
OR490735.1	LineageIV	SublineageIII
OR490736.1	LineageIV	SublineageIII
OR490737.1	LineageIV	SublineageIII
OR490738.1	LineageIV	SublineageIII
OR490739.1	LineageIV	SublineageIII
OR490740.1	LineageIV	SublineageIII
OR490742.1	LineageIV	SublineageIII
OR490743.1	LineageIV	SublineageIII
OR490744.1	LineageIV	SublineageIII
OR490745.1	LineageIV	SublineageIII
OR490746.1	LineageIV	SublineageIII
OR490747.1	LineageIV	SublineageIII
AY870334.1	LineageIV	SublineageIV
MG812651.1	LineageIV	SublineageIV
MG812652.1	LineageIV	SublineageIV
MG812654.1	LineageIV	SublineageIV
MG812656.1	LineageIV	SublineageIV
MG812659.1	LineageIV	SublineageIV
MG812660.1	LineageIV	SublineageIV
MG812662.1	LineageIV	SublineageIV
MG812664.1	LineageIV	SublineageIV
MG812666.1	LineageIV	SublineageIV
MG812668.1	LineageIV	SublineageIV
MG812671.1	LineageIV	SublineageIV
MG812672.1	LineageIV	SublineageIV
MG812676.1	LineageIV	SublineageIV
MG812678.1	LineageIV	SublineageIV
MH215278.1	LineageIV	SublineageIV
MH215280.1	LineageIV	SublineageIV
MH215282.1	LineageIV	SublineageIV
MH215286.1	LineageIV	SublineageIV
MH215288.1	LineageIV	SublineageIV
AY179171.1	LineageV	None
FR832710.1	LineageV	None
GU573541.1	LineageV	None
GU573542.1	LineageV	None
GU573543.1	LineageV	None
GU573544.1	LineageV	None
GU573545.1	LineageV	None
GU573546.1	LineageV	None
KF478760.1	LineageV	None
KF478761.1	LineageV	None
KF478762.1	LineageV	None
KF478763.1	LineageV	None
KF478764.1	LineageV	None
MG812633.1	LineageV	None
MK656390.1	LineageV	None
MK656391.1	LineageV	None
MK656396.1	LineageV	None
MK656397.1	LineageV	None
MK656398.1	LineageV	None
OL774862.1	LineageV	None
KU961972.2	LineageVI	None
MF990886.1	LineageVI	None
MF990887.1	LineageVI	None
MT199226.1	LineageVI	None
MT199227.1	LineageVI	None
MT199228.1	LineageVI	None
MT199229.1	LineageVI	None
MT199230.1	LineageVI	None
MT199231.1	LineageVI	None
MT199233.1	LineageVI	None
MT199234.1	LineageVI	None
MT199235.1	LineageVI	None
KT992435.1	LineageVII	None
MK107872.1	LineageVII	None
